ioport_cfg_t @0x31e3cc  count=100  table=0x31e0ac

  PIN     cfg         decoded
  ------  ----------  ---------------------------------------------
  P000    0x00004000  IRQ_ENABLE | INPUT
  P001    0x00004000  IRQ_ENABLE | INPUT
  P002    0x00004000  IRQ_ENABLE | INPUT
  P003    0x00000000  INPUT
  P004    0x00004000  IRQ_ENABLE | INPUT
  P005    0x00004000  IRQ_ENABLE | INPUT
  P00E    0x00008000  ANALOG
  P00F    0x00008000  ANALOG
  P100    0x0b010c00  DRIVE_HIGH | PERIPHERAL | PSEL=0xB
  P101    0x0b010c00  DRIVE_HIGH | PERIPHERAL | PSEL=0xB
  P102    0x0b010c00  DRIVE_HIGH | PERIPHERAL | PSEL=0xB
  P103    0x0b010c00  DRIVE_HIGH | PERIPHERAL | PSEL=0xB
  P104    0x0b010c00  DRIVE_HIGH | PERIPHERAL | PSEL=0xB
  P105    0x0b010c00  DRIVE_HIGH | PERIPHERAL | PSEL=0xB
  P106    0x0b010c00  DRIVE_HIGH | PERIPHERAL | PSEL=0xB
  P107    0x0b010c00  DRIVE_HIGH | PERIPHERAL | PSEL=0xB
  P108    0x00010000  PERIPHERAL | PSEL=0x0
  P109    0x05010000  PERIPHERAL | PSEL=0x5
  P10A    0x05010000  PERIPHERAL | PSEL=0x5
  P10B    0x0b010c00  DRIVE_HIGH | PERIPHERAL | PSEL=0xB
  P10C    0x0b010c00  DRIVE_HIGH | PERIPHERAL | PSEL=0xB
  P10D    0x0b010c00  DRIVE_HIGH | PERIPHERAL | PSEL=0xB
  P10E    0x0b010c00  DRIVE_HIGH | PERIPHERAL | PSEL=0xB
  P10F    0x0b010c00  DRIVE_HIGH | PERIPHERAL | PSEL=0xB
  P200    0x00004000  IRQ_ENABLE | INPUT
  P201    0x00000000  INPUT
  P202    0x06010000  PERIPHERAL | PSEL=0x6
  P203    0x06010000  PERIPHERAL | PSEL=0x6
  P204    0x06010000  PERIPHERAL | PSEL=0x6
  P205    0x15010c10  DRIVE_HIGH | PULLUP | PERIPHERAL | PSEL=0x15
  P206    0x15010c10  DRIVE_HIGH | PULLUP | PERIPHERAL | PSEL=0x15
  P207    0x06010000  PERIPHERAL | PSEL=0x6
